"Order","Factor","R2","P_value"
"Primates","Climate..basic.",0.169611359669188,0.001
"Primates","captive_wild",0.134573947990153,0.001
"Primates","Climate..basic.:captive_wild",0.695814692340659,NA
"Cetartiodactyla","Climate..basic.",0.0890645594205462,0.001
"Cetartiodactyla","captive_wild",0.910935440579454,NA
"Cetartiodactyla","Climate..basic.:captive_wild",1,NA
"Pilosa","Climate..basic.",0.312739669459341,0.0666666666666667
"Tubulidentata","captive_wild",0.443517673577472,0.015
"Carnivora","Climate..basic.",0.235750319017549,0.12
"Carnivora","captive_wild",0.764249680982451,NA
"Carnivora","Climate..basic.:captive_wild",1,NA
"Perissodactyla","Climate..basic.",0.0949551151938635,0.005
"Perissodactyla","captive_wild",0.905044884806137,NA
"Perissodactyla","Climate..basic.:captive_wild",1,NA
