"Order","Factor","R2","P_value"
"Carnivora","Climate..basic.",0.0711730332658617,0.001
"Carnivora","captive_wild",0.928826966734138,NA
"Carnivora","Climate..basic.:captive_wild",1,NA
"Primates","Climate..basic.",0.0711730332658617,0.001
"Primates","captive_wild",0.928826966734138,NA
"Primates","Climate..basic.:captive_wild",1,NA
"Tubulidentata","captive_wild",0.301992688758926,0.009
"Pilosa","Climate..basic.",0.296612742164005,0.0666666666666667
"Perissodactyla","Climate..basic.",0.0711730332658617,0.001
"Perissodactyla","captive_wild",0.928826966734138,NA
"Perissodactyla","Climate..basic.:captive_wild",1,NA
"Cetartiodactyla","Climate..basic.",0.0711730332658617,0.001
"Cetartiodactyla","captive_wild",0.928826966734138,NA
"Cetartiodactyla","Climate..basic.:captive_wild",1,NA
