"Order","Factor","R2","P_value"
"Carnivora","Climate..basic.",0.28276571299048,0.013
"Carnivora","captive_wild",0.71723428700952,NA
"Carnivora","Climate..basic.:captive_wild",1,NA
"Primates","Climate..basic.",0.122909862730857,0.001
"Primates","captive_wild",0.0744474990177428,0.001
"Primates","Climate..basic.:captive_wild",0.8026426382514,NA
"Tubulidentata","captive_wild",0.301992688758926,0.009
"Pilosa","Climate..basic.",0.296612742164005,0.0666666666666667
"Perissodactyla","Climate..basic.",0.0970780468847227,0.001
"Perissodactyla","captive_wild",0.902921953115277,NA
"Perissodactyla","Climate..basic.:captive_wild",1,NA
"Cetartiodactyla","Climate..basic.",0.0711730332658617,0.001
"Cetartiodactyla","captive_wild",0.928826966734138,NA
"Cetartiodactyla","Climate..basic.:captive_wild",1,NA
