"Order","Factor","R2","P_value"
"Primates","Climate..basic.",0.175269453854451,0.001
"Primates","captive_wild",0.135300711189305,0.001
"Primates","Climate..basic.:captive_wild",0.689429834956244,NA
"Tubulidentata","captive_wild",0.388285989184313,0.01
"Pilosa","Climate..basic.",0.306609248026312,0.0666666666666667
"Carnivora","Climate..basic.",0.275207912011791,0.034
"Carnivora","captive_wild",0.724792087988209,NA
"Carnivora","Climate..basic.:captive_wild",1,NA
"Perissodactyla","Climate..basic.",0.104263125762151,0.001
"Perissodactyla","captive_wild",0.895736874237849,NA
"Perissodactyla","Climate..basic.:captive_wild",1,NA
"Cetartiodactyla","Climate..basic.",0.0773063432647153,0.001
"Cetartiodactyla","captive_wild",0.922693656735285,NA
"Cetartiodactyla","Climate..basic.:captive_wild",1,NA
