"Order","Factor","R2","P_value"
"Primates","Climate..basic.",0.173324808809146,0.001
"Primates","captive_wild",0.13126444630187,0.001
"Primates","Climate..basic.:captive_wild",0.695410744888984,NA
"Tubulidentata","captive_wild",0.358930904363036,0.011
"Pilosa","Climate..basic.",0.308612739786063,0.0666666666666667
"Carnivora","Climate..basic.",0.298399641582076,0.017
"Carnivora","captive_wild",0.701600358417924,NA
"Carnivora","Climate..basic.:captive_wild",1,NA
"Perissodactyla","Climate..basic.",0.100856030631472,0.002
"Perissodactyla","captive_wild",0.899143969368528,NA
"Perissodactyla","Climate..basic.:captive_wild",1,NA
"Cetartiodactyla","Climate..basic.",0.0798089422197404,0.001
"Cetartiodactyla","captive_wild",0.92019105778026,NA
"Cetartiodactyla","Climate..basic.:captive_wild",1,NA
